job_id,date,time_utc,backend,status,user_id,num_circuits,total_shots,QPU_cost_ms,runtime_s,registers,fidelity,fidelity_ci_lo,fidelity_ci_hi,concurrence_C,tangle_T,QBER,QBER_ci_lo,QBER_ci_hi,shannon_entropy,T1_avg_us,T2_avg_us,CZ_error_pct,readout_error_pct
d5scsqneglic739vag9g,2026-01-27,14:40,ibm_torino,Completed,IBMid-692001DJRD,1,4000,600,3.125952774,meas,0.859,0.84787,0.869441,0.718,0.515524,N/A,N/A,N/A,1.582955,MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties()
d5scvp3v0pgs7392jj30,2026-01-27,14:47,ibm_fez,Completed,IBMid-692001DJRD,1,4000,600,2.6327979580000003,meas,0.93975,0.931945,0.946711,0.8795,0.77352,N/A,N/A,N/A,1.326761,MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties()
d5sd2ioubqnc73c4im80,2026-01-27,14:52,ibm_fez,Completed,IBMid-692001DJRD,1,4000,600,2.6327979580000003,meas,0.944,0.936439,0.950709,0.888,0.788544,N/A,N/A,N/A,1.310631,MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties()
d5sd53k9u8fs73bd8du0,2026-01-27,14:58,ibm_fez,Completed,IBMid-692001DJRD,1,10,600,1.156651841,meas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.321928,MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties()
d5sd7vbv0pgs7392jr4g,2026-01-27,15:04,ibm_fez,Completed,IBMid-692001DJRD,2,12000,600,4.307275605,c0;eve;bob,N/A,N/A,N/A,N/A,N/A,0.48975,0.474275,0.505244,N/A,MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties()
d5sd8vgubqnc73c4isu0,2026-01-27,15:06,ibm_fez,Completed,IBMid-692001DJRD,2,12000,600,4.307275605,safe;eve;bob,N/A,N/A,N/A,N/A,N/A,0.49375,0.478269,0.509243,N/A,MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties()
d5sd9mveglic739vatm0,2026-01-27,15:08,ibm_fez,Completed,IBMid-692001DJRD,1,1000,600,2.310666905,meas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.277856,MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties()
d5se1sk9u8fs73bd9arg,2026-01-27,15:59,ibm_fez,Completed,IBMid-692001DJRD,1,2000,600,1.849112312,meas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.884809,MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties(),MISSING — export backend.properties()
